id,name,thread 
570,Page 6,"I am running.Through this eerie space that lies in the basement of the basement of thehospital.It is lifeless, and there is no light.All I can do is run through it."
571,Page 7,"Does this world have an end? Or did it even have a beginning?Everywhere I go, all that I do is solve the mysteries that appearone after the other and then move on..."
572,Page 8,"I understand this, and expect that the same situation will continue.Still, all I can do is move forward.My thinking always results in this conclusion.第八章　「謎の病室」「人の居た形跡」Chapter 8   ""The Mysterious Hospital Room""Traces of a person being here"
573,Page 9 (Alessa's hospital room),"This door has awaited me.I slowly turn the knob.The inside of this room is different from the ones I have encountered upto this point, and I can feel life in here.There are traces and a sense that someone was in this room."
574,Page 10 (Picture of Alessa),"I softly pick up the picture frame that was displayed on the desk.""Alessa.""That is engraved on the picture frame.I gaze at the picture."
575,Page 11,"It is a face that I think I have seen somewhere.I try to remember where as hard as I can, but in the end I cannot rememberat all.But I am sure that I have met this girl somewhere.And more than just once."
576,Page 12,A diary has been placed next to the picture frame.
577,Go to 8-15,"_______________________________________________________________________________第八章　　「アレッサの空気」　  　              　　　　　                 8-15机の上の幻影                                                (Picture of Alessa)Chapter 8   ""The Atmosphere of Alessa""The illusion on the desk"
578,Page 1 (Picture of Alessa),I reach out with my hand.A ) Pick up the diary.
579,Go to 8-16,B ) Pick up the picture.
580,Go to 8-17,"_______________________________________________________________________________第八章　　「アレッサの空気」　  　              　　　　　                 8-16書きかけの日記                                              (Picture of Alessa)Chapter 8   ""The Atmosphere of Alessa""The unfinished diary"
581,Page 1 (Black),Something is written in the diary.
582,Page 2,"""April 15"
583,Page 3,From today this will be my new diary.Lisa secretly gave this to me as a present.And it means that soon I should be able to take my bandages off.
584,Page 4,A bird landed on a branch of the tree outside my window.I gazed at it for a bit.Seeing those beautiful colors I thought again that it must be spring.
585,Page 5,I wish I could play outside like the other children...
586,Page 6,"It is now afternoon, and they have come again.I pretended to be asleep, and it looks like they did not notice."
587,Page 7,"They talk quietly as not to be heard outside my room. I do not understandthe meaning of what they discussed.They never talk in this room, I thought."
588,Page 8,April 16
589,Page 9,Someone is talking outside my room.It sounds serious...But it doesn't seem to be about me.
590,Page 10,"Perhaps it's because he doesn't want to disturb me? Even the hospitaldirector has not come to see me much lately.I don't like the director very much, so I am honestly quite happy."
591,Page 11,April 16 P.S.By some strange chance I learned a certain person is coming to visit me.
592,Page 12,April 17
593,Page 13,Everyone has been in a rush for some reason since before sunrise thismorning.Something about a dead person coming back to life.Does that really happen?
594,Page 14,It is a frightening story...And because of that my meal was a little late.The cold soup is disappointing.
595,Page 15,"Suddenly I remembered him.Maybe he has forgotten me, but I definitely remember him.Lately I think of him often.I want to see him."
